series,date,exports,exports_domestic,re_exports,imports,imports_retained,total,balance
abs,2005-08-01,46746312908.0,,,36654458072.0,,83400770980.0,10091854836.0
abs,2005-09-01,48016870418.0,,,39967688863.0,,87984559281.0,8049181555.0
abs,2005-10-01,49748242713.0,,,39129358191.0,,88877600904.0,10618884522.0
abs,2005-11-01,43711720972.0,,,34610917341.0,,78322638313.0,9100803631.0
abs,2005-12-01,49745390585.0,,,39976495173.0,,89721885758.0,9768895412.0
abs,2006-01-01,43199834655.0,,,34170419111.0,,77370253766.0,9029415544.0
abs,2006-02-01,42409082571.0,,,34732835413.0,,77141917984.0,7676247158.0
abs,2006-03-01,51429024693.0,,,41522379826.0,,92951404519.0,9906644867.0
abs,2006-04-01,45900138502.0,,,38715697672.0,,84615836174.0,7184440830.0
abs,2006-05-01,48243868633.0,,,39922705561.0,,88166574194.0,8321163072.0
abs,2006-06-01,49157212456.0,,,40629381278.0,,89786593734.0,8527831178.0
abs,2006-07-01,50558415878.0,,,41131605572.0,,91690021450.0,9426810306.0
abs,2006-08-01,53409587314.0,,,43088296816.0,,96497884130.0,10321290498.0
abs,2006-09-01,53120776711.0,,,42540097169.0,,95660873880.0,10580679542.0
abs,2006-10-01,48039233962.0,,,38296930412.0,,86336164374.0,9742303550.0
abs,2006-11-01,51331488691.0,,,42045124906.0,,93376613597.0,9286363785.0
abs,2006-12-01,52441680434.0,,,41352448828.0,,93794129262.0,11089231606.0
abs,2007-01-01,47982139078.0,,,40337814350.0,,88319953428.0,7644324728.0
abs,2007-02-01,40894793672.0,,,34116194941.0,,75010988613.0,6778598731.0
abs,2007-03-01,48793518306.0,,,42357448820.0,,91150967126.0,6436069486.0
abs,2007-04-01,45968460257.0,,,40212907057.0,,86181367314.0,5755553200.0
abs,2007-05-01,49702123724.0,,,41571812540.0,,91273936264.0,8130311184.0
abs,2007-06-01,49118554366.0,,,40296430982.0,,89414985348.0,8822123384.0
abs,2007-07-01,50384374708.0,,,42443212029.0,,92827586737.0,7941162679.0
abs,2007-08-01,53863036467.0,,,44590871421.0,,98453907888.0,9272165046.0
abs,2007-09-01,54123978975.0,,,42530759776.0,,96654738751.0,11593219199.0
abs,2007-10-01,54763008243.0,,,45374628800.0,,100137637043.0,9388379443.0
abs,2007-11-01,54453930843.0,,,43948747030.0,,98402677873.0,10505183813.0
abs,2007-12-01,54251713780.0,,,44263796596.0,,98515510376.0,9987917184.0
abs,2008-01-01,53180806399.0,51348616116.0,1832190283.0,43209404432.0,41377214149.0,96390210831.0,9971401967.0
abs,2008-02-01,47265650380.0,45725774796.00001,1539875583.9999924,37902956153.0,36363080569.00001,85168606533.0,9362694227.0
growth_mom,2008-02-01,-11.1,-11.0,-16.0,-12.3,-12.1,-11.6,-6.1
abs,2008-03-01,51800899053.0,50191944205.00001,1608954847.9999924,43612984629.0,42004029781.00001,95413883682.0,8187914424.0
growth_mom,2008-03-01,9.6,9.8,4.5,15.1,15.5,12.0,-12.5
abs,2008-04-01,55743052768.0,53890989966.0,1852062802.0,43230710388.0,41378647586.0,98973763156.0,12512342380.0
growth_mom,2008-04-01,7.6,7.4,15.1,-0.9,-1.5,3.7,52.8
abs,2008-05-01,61171154113.0,59223725996.0,1947428117.0,45403684956.0,43456256839.0,106574839069.0,15767469157.0
growth_mom,2008-05-01,9.7,9.9,5.1,5.0,5.0,7.7,26.0
abs,2008-06-01,58439018495.0,56607112086.00001,1831906408.9999924,45101993279.0,43270086870.00001,103541011774.0,13337025216.0
growth_mom,2008-06-01,-4.5,-4.4,-5.9,-0.7,-0.4,-2.8,-15.4
abs,2008-07-01,63471705615.0,61489213799.99999,1982491815.0000076,48727478539.0,46744986723.99999,112199184154.0,14744227076.0
growth_mom,2008-07-01,8.6,8.6,8.2,8.0,8.0,8.4,10.6
abs,2008-08-01,59971938884.0,57815646086.00001,2156292797.9999924,46856632099.0,44700339301.00001,106828570983.0,13115306785.0
growth_mom,2008-08-01,-5.5,-6.0,8.8,-3.8,-4.4,-4.8,-11.0
abs,2008-09-01,62824502592.0,60865697392.99999,1958805199.0000076,47400685451.0,45441880251.99999,110225188043.0,15423817141.0
growth_mom,2008-09-01,4.8,5.3,-9.2,1.2,1.7,3.2,17.6
abs,2008-10-01,52823431047.0,51045471115.0,1777959932.0,43708568387.0,41930608455.0,96531999434.0,9114862660.0
growth_mom,2008-10-01,-15.9,-16.1,-9.2,-7.8,-7.7,-12.4,-40.9
abs,2008-11-01,51308452347.0,49518954288.0,1789498059.0,40211898440.0,38422400381.0,91520350787.0,11096553907.0
growth_mom,2008-11-01,-2.9,-3.0,0.6,-8.0,-8.4,-5.2,21.7
abs,2008-12-01,45012902913.0,43472975354.0,1539927559.0,34437296964.0,32897369404.999996,79450199877.0,10575605949.0
growth_mom,2008-12-01,-12.3,-12.2,-13.9,-14.4,-14.4,-13.2,-4.7
abs,2009-01-01,37002648486.0,35550544300.0,1452104186.0,30070504118.0,28618399932.0,67073152604.0,6932144368.0
growth_yoy,2009-01-01,-30.4,-30.8,-20.7,-30.4,-30.8,-30.4,-30.5
growth_mom,2009-01-01,-17.8,-18.2,-5.7,-12.7,-13.0,-15.6,-34.5
abs,2009-02-01,38456095993.0,36790699536.0,1665396457.0,27362322874.0,25696926416.999996,65818418867.0,11093773119.0
growth_yoy,2009-02-01,-18.6,-19.5,8.2,-27.8,-29.3,-22.7,18.5
growth_mom,2009-02-01,3.9,3.5,14.7,-9.0,-10.2,-1.9,60.0
abs,2009-03-01,42523581045.0,40707699332.0,1815881713.0,30909358931.0,29093477218.0,73432939976.0,11614222114.0
growth_yoy,2009-03-01,-17.9,-18.9,12.9,-29.1,-30.7,-23.0,41.8
growth_mom,2009-03-01,10.6,10.6,9.0,13.0,13.2,11.6,4.7
abs,2009-04-01,41181082433.0,39429208598.0,1751873835.0,33715400719.0,31963526884.0,74896483152.0,7465681714.0
growth_yoy,2009-04-01,-26.1,-26.8,-5.4,-22.0,-22.8,-24.3,-40.3
growth_mom,2009-04-01,-3.2,-3.1,-3.5,9.1,9.9,2.0,-35.7
abs,2009-05-01,43100989159.0,40990042121.0,2110947038.0,32996217735.0,30885270697.0,76097206894.0,10104771424.0
growth_yoy,2009-05-01,-29.5,-30.8,8.4,-27.3,-28.9,-28.6,-35.9
growth_mom,2009-05-01,4.7,4.0,20.5,-2.1,-3.4,1.6,35.3
abs,2009-06-01,45369425461.0,43313359547.0,2056065914.0,35980539906.0,33924473992.0,81349965367.0,9388885555.0
