date,bank,rate,value
1997-07-01,commercial,fdr_9mo,7.52
1997-07-01,investment,fdr_1mo,8.65
1997-07-01,investment,fdr_9mo,7.65
1997-07-01,commercial,fdr_6mo,7.56
1997-07-01,investment,fdr_3mo,8.08
1997-07-01,commercial,alr,10.85
1997-07-01,commercial,blr,9.58
1997-07-01,commercial,sr,4.14
1997-07-01,commercial,fdr_3mo,7.73
1997-08-01,commercial,fdr_6mo,7.56
1997-08-01,commercial,fdr_9mo,7.56
1997-08-01,commercial,fdr_12mo,7.56
1997-08-01,commercial,fdr_1mo,7.46
1997-08-01,investment,alr,11.49
1997-08-01,commercial,fdr_3mo,7.54
1997-08-01,investment,fdr_9mo,7.62
1997-08-01,commercial,alr,10.69
1997-08-01,investment,fdr_6mo,7.74
1997-08-01,commercial,sr,4.19
1997-08-01,investment,fdr_3mo,7.69
1997-08-01,investment,fdr_1mo,7.45
1997-08-01,commercial,blr,9.61
1997-08-01,investment,fdr_12mo,7.66
1997-09-01,investment,fdr_6mo,7.96
1997-09-01,investment,fdr_1mo,7.83
1997-09-01,investment,fdr_12mo,7.92
1997-09-01,commercial,blr,9.61
1997-09-01,commercial,fdr_1mo,7.59
1997-09-01,commercial,fdr_9mo,7.75
1997-09-01,commercial,sr,4.19
1997-09-01,investment,fdr_3mo,7.86
1997-09-01,investment,fdr_9mo,7.6
1997-09-01,investment,alr,11.37
1997-09-01,commercial,alr,10.68
1997-09-01,commercial,fdr_3mo,7.69
1997-09-01,commercial,fdr_12mo,7.79
1997-09-01,commercial,fdr_6mo,7.74
1997-10-01,investment,fdr_12mo,8.12
1997-10-01,commercial,fdr_12mo,8.77
1997-10-01,commercial,alr,10.69
1997-10-01,investment,fdr_6mo,9.01
1997-10-01,investment,fdr_3mo,8.65
1997-10-01,commercial,fdr_1mo,8.39
1997-10-01,commercial,fdr_6mo,8.71
1997-10-01,investment,alr,11.88
1997-10-01,investment,fdr_1mo,8.77
1997-10-01,commercial,blr,9.53
1997-10-01,investment,fdr_9mo,8.02
1997-10-01,commercial,sr,4.24
1997-10-01,commercial,fdr_9mo,8.74
1997-10-01,commercial,fdr_3mo,8.56
1997-11-01,commercial,fdr_12mo,9.26
1997-11-01,investment,fdr_12mo,9.62
1997-11-01,commercial,sr,4.23
1997-11-01,investment,fdr_6mo,9.97
1997-11-01,commercial,alr,11.09
1997-11-01,investment,fdr_3mo,9.91
1997-11-01,commercial,fdr_9mo,9.23
1997-11-01,investment,fdr_9mo,8.72
1997-11-01,commercial,fdr_6mo,9.18
1997-11-01,commercial,fdr_3mo,9.08
1997-11-01,commercial,blr,10.07
1997-11-01,investment,alr,13.06
1997-11-01,commercial,fdr_1mo,8.92
1997-11-01,investment,fdr_1mo,9.81
1997-12-01,investment,fdr_1mo,11.2
1997-12-01,commercial,fdr_12mo,9.33
1997-12-01,commercial,fdr_6mo,9.21
1997-12-01,commercial,fdr_1mo,8.81
1997-12-01,investment,alr,16.34
1997-12-01,commercial,alr,11.51
1997-12-01,investment,fdr_3mo,11.53
1997-12-01,investment,fdr_6mo,10.51
1997-12-01,commercial,fdr_3mo,9.06
1997-12-01,investment,fdr_9mo,8.8
1997-12-01,commercial,blr,10.33
1997-12-01,commercial,sr,4.23
1997-12-01,investment,fdr_12mo,11.89
1997-12-01,commercial,fdr_9mo,9.27
1998-01-01,commercial,blr,10.44
1998-01-01,investment,alr,18.71
1998-01-01,commercial,alr,11.83
1998-01-01,investment,fdr_1mo,12.63
1998-01-01,investment,fdr_6mo,12.35
1998-01-01,commercial,sr,4.27
1998-01-01,investment,fdr_3mo,12.44
1998-01-01,commercial,fdr_12mo,9.36
1998-01-01,commercial,fdr_9mo,9.3
1998-01-01,investment,fdr_12mo,11.98
1998-01-01,investment,fdr_9mo,10.73
1998-01-01,commercial,fdr_3mo,9.09
1998-01-01,commercial,fdr_1mo,8.86
1998-01-01,commercial,fdr_6mo,9.25
1998-02-01,commercial,sr,4.32
1998-02-01,commercial,alr,12.47
1998-02-01,investment,fdr_6mo,10.29
1998-02-01,investment,alr,17.31
1998-02-01,investment,fdr_1mo,10.98
1998-02-01,commercial,fdr_9mo,9.62
1998-02-01,investment,fdr_12mo,11.02
1998-02-01,investment,fdr_9mo,10.48
1998-02-01,commercial,fdr_3mo,9.46
1998-02-01,commercial,fdr_1mo,9.25
1998-02-01,investment,fdr_3mo,11.01
1998-02-01,commercial,fdr_6mo,9.57
1998-02-01,commercial,fdr_12mo,9.67
1998-02-01,commercial,blr,11.08
1998-03-01,investment,fdr_6mo,11.13
1998-03-01,commercial,blr,11.96
1998-03-01,investment,alr,15.84
1998-03-01,commercial,fdr_1mo,9.56
1998-03-01,investment,fdr_1mo,10.88
1998-03-01,commercial,alr,13.33
1998-03-01,commercial,fdr_9mo,9.84
1998-03-01,commercial,fdr_6mo,9.84
1998-03-01,investment,fdr_12mo,11.05
1998-03-01,commercial,fdr_12mo,9.9
1998-03-01,investment,fdr_3mo,11.12
1998-03-01,commercial,sr,4.34
1998-03-01,commercial,fdr_3mo,9.79
1998-03-01,investment,fdr_9mo,10.48
1998-04-01,commercial,fdr_3mo,9.89
1998-04-01,investment,fdr_3mo,11.24
1998-04-01,commercial,alr,13.49
1998-04-01,commercial,fdr_9mo,9.97
1998-04-01,investment,fdr_6mo,11.21
1998-04-01,investment,alr,15.72
1998-04-01,commercial,fdr_6mo,9.99
1998-04-01,commercial,fdr_12mo,10.03
1998-04-01,investment,fdr_12mo,11.13
1998-04-01,investment,fdr_9mo,10.72
1998-04-01,commercial,fdr_1mo,9.65
1998-04-01,investment,fdr_1mo,11.1
1998-04-01,commercial,blr,12.16
1998-04-01,commercial,sr,4.44
1998-05-01,investment,fdr_1mo,10.92
1998-05-01,investment,fdr_9mo,11.06
1998-05-01,commercial,sr,4.46
1998-05-01,commercial,alr,13.540000000000001
1998-05-01,commercial,fdr_9mo,10.07
1998-05-01,commercial,fdr_3mo,10.0
1998-05-01,commercial,fdr_12mo,10.14
1998-05-01,commercial,blr,12.21
1998-05-01,commercial,fdr_6mo,10.1
1998-05-01,commercial,fdr_1mo,9.79
1998-05-01,investment,fdr_6mo,11.05
1998-05-01,investment,alr,15.62
1998-05-01,investment,fdr_3mo,10.98
1998-05-01,investment,fdr_12mo,11.16
1998-06-01,investment,fdr_1mo,11.1
1998-06-01,commercial,blr,12.27
1998-06-01,commercial,fdr_1mo,10.04
1998-06-01,commercial,alr,13.51
1998-06-01,commercial,sr,4.51
1998-06-01,investment,fdr_9mo,11.12
1998-06-01,investment,alr,15.59
1998-06-01,commercial,fdr_3mo,10.19
1998-06-01,commercial,fdr_12mo,10.24
1998-06-01,commercial,fdr_6mo,10.21
1998-06-01,investment,fdr_12mo,11.85
1998-06-01,commercial,fdr_9mo,10.18
1998-06-01,investment,fdr_3mo,11.06
1998-06-01,investment,fdr_6mo,10.39
1998-07-01,commercial,fdr_6mo,10.28
1998-07-01,commercial,blr,12.07
1998-07-01,investment,fdr_1mo,10.83
1998-07-01,investment,fdr_6mo,10.88
1998-07-01,commercial,fdr_3mo,10.27
1998-07-01,commercial,fdr_9mo,10.24
1998-07-01,commercial,alr,13.47
1998-07-01,commercial,fdr_1mo,10.14
1998-07-01,investment,fdr_12mo,12.45
1998-07-01,commercial,sr,4.54
1998-07-01,commercial,fdr_12mo,10.28
1998-07-01,investment,alr,15.23
1998-07-01,investment,fdr_9mo,10.87
1998-07-01,investment,fdr_3mo,10.82
1998-08-01,commercial,fdr_1mo,9.54
1998-08-01,investment,fdr_3mo,10.22
1998-08-01,investment,fdr_6mo,10.32
1998-08-01,investment,alr,14.81
1998-08-01,commercial,alr,13.11
1998-08-01,investment,fdr_9mo,11.28
1998-08-01,investment,fdr_1mo,9.99
1998-08-01,commercial,fdr_3mo,9.5
1998-08-01,commercial,fdr_6mo,9.51
1998-08-01,commercial,fdr_9mo,9.45
1998-08-01,commercial,fdr_12mo,9.46
1998-08-01,commercial,sr,4.51
1998-08-01,investment,fdr_12mo,11.3
1998-08-01,commercial,blr,11.7
1998-09-01,commercial,fdr_3mo,6.17
1998-09-01,commercial,blr,8.89
1998-09-01,commercial,fdr_1mo,6.19
1998-09-01,commercial,sr,4.0
1998-09-01,investment,fdr_12mo,12.2
1998-09-01,commercial,fdr_12mo,6.13
1998-09-01,investment,alr,12.92
1998-09-01,commercial,fdr_6mo,6.13
1998-09-01,investment,fdr_1mo,7.05
1998-09-01,commercial,fdr_9mo,6.12
1998-09-01,commercial,alr,11.09
1998-09-01,investment,fdr_9mo,8.71
1998-09-01,investment,fdr_6mo,8.2
1998-09-01,investment,fdr_3mo,7.46
1998-10-01,commercial,fdr_1mo,6.09
1998-10-01,commercial,sr,3.96
1998-10-01,commercial,fdr_6mo,6.04
1998-10-01,investment,fdr_6mo,6.9
1998-10-01,commercial,alr,10.43
1998-10-01,investment,alr,11.76
1998-10-01,investment,fdr_1mo,6.86
1998-10-01,commercial,fdr_12mo,6.02
1998-10-01,investment,fdr_3mo,7.11
1998-10-01,commercial,fdr_3mo,6.09
1998-10-01,investment,fdr_12mo,10.05
1998-10-01,investment,fdr_9mo,11.37
1998-10-01,commercial,blr,8.49
1998-10-01,commercial,fdr_9mo,6.01
1998-11-01,commercial,fdr_1mo,5.87
1998-11-01,investment,fdr_1mo,6.51
1998-11-01,commercial,fdr_9mo,5.78
1998-11-01,commercial,sr,3.89
1998-11-01,investment,alr,11.14
1998-11-01,investment,fdr_6mo,6.37
1998-11-01,commercial,fdr_6mo,5.8
1998-11-01,commercial,alr,9.88
1998-11-01,investment,fdr_9mo,8.2
1998-11-01,commercial,fdr_3mo,5.88
1998-11-01,commercial,fdr_12mo,5.79
1998-11-01,investment,fdr_3mo,6.47
1998-11-01,commercial,blr,8.04
1998-11-01,investment,fdr_12mo,8.86
1998-12-01,investment,fdr_1mo,6.14
1998-12-01,commercial,fdr_1mo,5.82
1998-12-01,commercial,fdr_9mo,5.74
1998-12-01,commercial,sr,3.87
1998-12-01,investment,fdr_6mo,6.0
1998-12-01,investment,alr,10.71
1998-12-01,commercial,fdr_6mo,5.76
1998-12-01,commercial,alr,9.73
1998-12-01,investment,fdr_9mo,8.2
1998-12-01,commercial,fdr_3mo,5.83
1998-12-01,investment,fdr_3mo,6.29
1998-12-01,commercial,fdr_12mo,5.74
1998-12-01,commercial,blr,8.04
1998-12-01,investment,fdr_12mo,13.6
1999-01-01,commercial,blr,8.04
1999-01-01,investment,fdr_12mo,6.28
1999-01-01,investment,fdr_1mo,6.18
1999-01-01,investment,fdr_9mo,9.1
1999-01-01,commercial,fdr_9mo,5.66
1999-01-01,commercial,walr,9.669827802679727
1999-01-01,investment,fdr_6mo,6.27
1999-01-01,commercial,sr,3.81
1999-01-01,commercial,fdr_1mo,5.72
1999-01-01,investment,alr,10.54
1999-01-01,commercial,fdr_6mo,5.67
1999-01-01,commercial,alr,9.620000000000001
1999-01-01,commercial,fdr_3mo,5.72
1999-01-01,commercial,fdr_12mo,5.66
1999-01-01,investment,fdr_3mo,6.23
1999-02-01,investment,fdr_3mo,5.91
1999-02-01,investment,fdr_12mo,6.08
1999-02-01,commercial,blr,8.04
1999-02-01,investment,fdr_1mo,5.89
1999-02-01,investment,alr,10.41
1999-02-01,investment,fdr_9mo,8.03
1999-02-01,commercial,fdr_9mo,5.53
1999-02-01,commercial,walr,9.581872146556966
1999-02-01,commercial,sr,3.76
1999-02-01,investment,fdr_6mo,6.07
1999-02-01,commercial,fdr_1mo,5.58
1999-02-01,commercial,fdr_6mo,5.54
1999-02-01,commercial,alr,9.56
1999-02-01,commercial,fdr_3mo,5.59
1999-02-01,commercial,fdr_12mo,5.54
1999-03-01,commercial,fdr_3mo,5.44
1999-03-01,commercial,blr,8.04
1999-03-01,investment,fdr_3mo,5.66
1999-03-01,investment,fdr_12mo,5.87
1999-03-01,commercial,walr,9.574239321414614
1999-03-01,commercial,alr,9.56
1999-03-01,commercial,fdr_9mo,5.4
1999-03-01,commercial,sr,3.7
1999-03-01,investment,fdr_9mo,5.94
1999-03-01,investment,fdr_6mo,5.84
1999-03-01,commercial,fdr_1mo,5.39
1999-03-01,investment,fdr_1mo,5.59
1999-03-01,commercial,fdr_6mo,5.42
1999-03-01,investment,alr,10.28
1999-03-01,commercial,fdr_12mo,5.4
1999-04-01,commercial,fdr_12mo,4.06
1999-04-01,commercial,fdr_3mo,4.0
1999-04-01,investment,fdr_3mo,4.17
1999-04-01,commercial,blr,7.64
1999-04-01,investment,fdr_12mo,4.1
1999-04-01,commercial,walr,9.194335418863279
1999-04-01,commercial,alr,9.15
1999-04-01,investment,fdr_6mo,5.26
1999-04-01,investment,fdr_9mo,5.18
1999-04-01,commercial,fdr_9mo,4.05
1999-04-01,commercial,sr,3.24
1999-04-01,commercial,fdr_1mo,3.99
1999-04-01,investment,fdr_1mo,4.06
1999-04-01,commercial,fdr_6mo,4.04
1999-04-01,investment,alr,9.72
1999-05-01,commercial,fdr_12mo,3.8
1999-05-01,investment,fdr_3mo,3.88
1999-05-01,commercial,fdr_3mo,3.75
1999-05-01,investment,alr,9.12
1999-05-01,investment,fdr_12mo,4.06
1999-05-01,commercial,blr,7.24
1999-05-01,commercial,walr,8.715204671446317
1999-05-01,investment,fdr_9mo,4.48
1999-05-01,investment,fdr_6mo,3.72
1999-05-01,commercial,fdr_9mo,3.78
1999-05-01,commercial,sr,2.93
1999-05-01,commercial,fdr_1mo,3.75
1999-05-01,commercial,alr,8.620000000000001
1999-05-01,investment,fdr_1mo,3.57
1999-05-01,commercial,fdr_6mo,3.77
1999-06-01,commercial,fdr_12mo,3.8
1999-06-01,commercial,fdr_3mo,3.75
1999-06-01,investment,alr,8.55
1999-06-01,investment,fdr_3mo,3.5
1999-06-01,investment,fdr_12mo,3.93
1999-06-01,commercial,blr,7.24
1999-06-01,commercial,walr,8.629584440444386
1999-06-01,investment,fdr_9mo,4.31
1999-06-01,commercial,alr,8.44
1999-06-01,investment,fdr_6mo,3.61
1999-06-01,commercial,fdr_9mo,3.78
1999-06-01,investment,fdr_1mo,3.59
1999-06-01,commercial,fdr_1mo,3.75
1999-06-01,commercial,sr,2.92
1999-06-01,commercial,fdr_6mo,3.76
1999-07-01,investment,fdr_3mo,3.45
1999-07-01,commercial,alr,8.36
1999-07-01,investment,fdr_12mo,3.95
1999-07-01,commercial,walr,8.558006419223739
1999-07-01,commercial,blr,7.24
1999-07-01,investment,alr,8.33
1999-07-01,investment,fdr_6mo,3.54
1999-07-01,commercial,fdr_9mo,3.78
1999-07-01,commercial,fdr_3mo,3.75
1999-07-01,investment,fdr_9mo,4.84
1999-07-01,commercial,sr,2.87
1999-07-01,investment,fdr_1mo,3.36
1999-07-01,commercial,fdr_6mo,3.76
1999-07-01,commercial,fdr_1mo,3.75
1999-07-01,commercial,fdr_12mo,3.79
1999-08-01,commercial,alr,8.05
1999-08-01,commercial,fdr_1mo,3.75
1999-08-01,commercial,fdr_6mo,3.76
1999-08-01,investment,fdr_3mo,3.54
1999-08-01,commercial,fdr_12mo,3.79
1999-08-01,investment,fdr_6mo,3.58
1999-08-01,investment,fdr_9mo,4.21
1999-08-01,commercial,fdr_3mo,3.75
1999-08-01,commercial,sr,2.89
1999-08-01,investment,fdr_1mo,3.38
1999-08-01,commercial,fdr_9mo,3.77
1999-08-01,commercial,blr,6.79
1999-08-01,investment,alr,8.14
1999-08-01,investment,fdr_12mo,3.93
1999-08-01,commercial,walr,8.243517572732252
1999-09-01,commercial,blr,6.79
1999-09-01,investment,fdr_12mo,4.06
1999-09-01,commercial,fdr_9mo,3.77
1999-09-01,investment,alr,7.82
1999-09-01,investment,fdr_9mo,4.48
1999-09-01,commercial,sr,2.85
1999-09-01,commercial,fdr_6mo,3.76
1999-09-01,investment,fdr_6mo,3.72
1999-09-01,investment,fdr_3mo,3.88
1999-09-01,commercial,fdr_12mo,3.79
1999-09-01,commercial,fdr_3mo,3.75
1999-09-01,investment,fdr_1mo,3.57
1999-09-01,commercial,fdr_1mo,3.75
1999-09-01,commercial,walr,8.062439995321125
1999-09-01,commercial,alr,7.91
1999-10-01,investment,fdr_6mo,3.49
1999-10-01,commercial,fdr_9mo,3.67
1999-10-01,commercial,blr,6.79
1999-10-01,commercial,fdr_1mo,3.24
1999-10-01,commercial,walr,8.0507395805207
1999-10-01,investment,fdr_1mo,3.1
1999-10-01,commercial,fdr_3mo,3.33
1999-10-01,investment,fdr_9mo,4.38
1999-10-01,investment,fdr_12mo,3.9
1999-10-01,investment,fdr_3mo,3.16
1999-10-01,commercial,sr,2.78
1999-10-01,investment,alr,7.74
1999-10-01,commercial,alr,7.88
1999-10-01,commercial,fdr_6mo,3.47
1999-10-01,commercial,fdr_12mo,3.93
1999-11-01,commercial,sr,2.74
1999-11-01,investment,fdr_6mo,3.32
1999-11-01,commercial,fdr_12mo,3.93
1999-11-01,commercial,walr,7.995406725309627
1999-11-01,commercial,fdr_1mo,3.24
1999-11-01,commercial,alr,7.84
1999-11-01,commercial,fdr_6mo,3.46
1999-11-01,investment,fdr_9mo,4.46
1999-11-01,investment,fdr_3mo,3.22
1999-11-01,investment,fdr_12mo,4.0
1999-11-01,investment,alr,7.65
1999-11-01,commercial,fdr_3mo,3.33
1999-11-01,investment,fdr_1mo,3.12
1999-11-01,commercial,blr,6.79
1999-11-01,commercial,fdr_9mo,3.67
1999-12-01,commercial,fdr_6mo,3.47
1999-12-01,investment,alr,7.58
1999-12-01,commercial,fdr_9mo,3.68
1999-12-01,commercial,blr,6.79
1999-12-01,investment,fdr_3mo,3.17
1999-12-01,commercial,fdr_3mo,3.33
1999-12-01,investment,fdr_1mo,3.1
1999-12-01,commercial,sr,2.76
1999-12-01,commercial,alr,7.75
1999-12-01,investment,fdr_6mo,3.27
1999-12-01,investment,fdr_12mo,4.0
1999-12-01,investment,fdr_9mo,3.54
1999-12-01,commercial,fdr_12mo,3.95
1999-12-01,commercial,walr,7.941645134616618
1999-12-01,commercial,fdr_1mo,3.24
2000-01-01,investment,fdr_6mo,3.29
2000-01-01,commercial,fdr_9mo,3.65
2000-01-01,commercial,fdr_12mo,3.94
2000-01-01,investment,fdr_12mo,3.83
2000-01-01,commercial,sr,2.7
2000-01-01,commercial,alr,7.8100000000000005
2000-01-01,commercial,fdr_1mo,3.24
2000-01-01,investment,alr,7.45
2000-01-01,commercial,fdr_6mo,3.44
2000-01-01,commercial,fdr_3mo,3.3200000000000003
2000-01-01,investment,fdr_1mo,3.13
2000-01-01,investment,fdr_9mo,3.35
2000-01-01,investment,fdr_3mo,3.15
2000-01-01,commercial,blr,6.79
2000-01-01,commercial,walr,7.939268143829711
2000-02-01,commercial,fdr_3mo,3.3000000000000003
2000-02-01,commercial,walr,7.914193741460906
2000-02-01,investment,fdr_3mo,3.0500000000000003
2000-02-01,commercial,fdr_1mo,3.23
2000-02-01,investment,fdr_9mo,3.52
2000-02-01,commercial,fdr_6mo,3.39
2000-02-01,investment,alr,7.48
2000-02-01,commercial,fdr_12mo,3.94
2000-02-01,commercial,alr,7.79
2000-02-01,investment,fdr_6mo,3.13
2000-02-01,investment,fdr_1mo,3.0100000000000002
2000-02-01,commercial,fdr_9mo,3.58
2000-02-01,commercial,sr,2.7
2000-02-01,commercial,blr,6.79
2000-02-01,investment,fdr_12mo,3.9
2000-03-01,commercial,fdr_1mo,3.22
2000-03-01,commercial,walr,7.858284125740242
2000-03-01,commercial,fdr_6mo,3.37
2000-03-01,investment,fdr_3mo,3.0500000000000003
2000-03-01,commercial,fdr_12mo,3.91
2000-03-01,investment,fdr_9mo,3.3
2000-03-01,commercial,alr,7.74
2000-03-01,investment,fdr_12mo,3.8
2000-03-01,commercial,sr,2.7
2000-03-01,commercial,fdr_3mo,3.2800000000000002
2000-03-01,investment,fdr_1mo,2.99
2000-03-01,commercial,blr,6.79
2000-03-01,commercial,fdr_9mo,3.55
2000-03-01,investment,alr,7.4
2000-03-01,investment,fdr_6mo,3.24
2000-04-01,commercial,fdr_1mo,3.21
2000-04-01,investment,fdr_6mo,3.16
2000-04-01,commercial,walr,7.851899367126378
2000-04-01,investment,alr,7.36
2000-04-01,investment,fdr_3mo,3.04
2000-04-01,commercial,fdr_6mo,3.34
2000-04-01,investment,fdr_9mo,3.55
2000-04-01,commercial,alr,7.7700000000000005
2000-04-01,commercial,fdr_12mo,3.91
2000-04-01,commercial,fdr_3mo,3.27
2000-04-01,commercial,sr,2.68
2000-04-01,investment,fdr_12mo,3.65
2000-04-01,investment,fdr_1mo,2.91
2000-04-01,commercial,blr,6.79
2000-04-01,commercial,fdr_9mo,3.52
2000-05-01,commercial,fdr_1mo,3.21
2000-05-01,investment,fdr_6mo,3.21
2000-05-01,commercial,walr,7.813028781717339
2000-05-01,commercial,fdr_6mo,3.33
2000-05-01,investment,fdr_3mo,3.09
2000-05-01,investment,fdr_9mo,3.8
2000-05-01,commercial,alr,7.7700000000000005
2000-05-01,investment,alr,7.2700000000000005
2000-05-01,commercial,fdr_12mo,3.91
2000-05-01,commercial,sr,2.68
2000-05-01,investment,fdr_12mo,3.67
2000-05-01,commercial,fdr_3mo,3.2600000000000002
2000-05-01,commercial,fdr_9mo,3.51
2000-05-01,commercial,blr,6.76
2000-05-01,investment,fdr_1mo,2.94
2000-06-01,commercial,alr,7.66
2000-06-01,commercial,fdr_9mo,3.5
2000-06-01,investment,fdr_6mo,3.19
2000-06-01,commercial,fdr_1mo,3.21
2000-06-01,commercial,walr,7.743128437613864
2000-06-01,investment,fdr_1mo,2.89
2000-06-01,investment,fdr_3mo,3.0500000000000003
2000-06-01,commercial,fdr_6mo,3.33
2000-06-01,investment,fdr_9mo,3.43
2000-06-01,commercial,sr,2.68
2000-06-01,investment,fdr_12mo,3.85
2000-06-01,commercial,fdr_3mo,3.2600000000000002
2000-06-01,investment,alr,7.25
2000-06-01,commercial,blr,6.76
2000-06-01,commercial,fdr_12mo,3.91
2000-07-01,commercial,blr,6.75
2000-07-01,commercial,alr,7.66
2000-07-01,commercial,fdr_9mo,3.51
2000-07-01,commercial,walr,7.598169112704412
2000-07-01,investment,fdr_6mo,3.19
2000-07-01,commercial,fdr_1mo,3.21
2000-07-01,investment,fdr_3mo,3.06
2000-07-01,commercial,fdr_12mo,3.9
2000-07-01,commercial,fdr_6mo,3.33
2000-07-01,investment,fdr_1mo,2.94
2000-07-01,investment,fdr_9mo,3.2
2000-07-01,commercial,sr,2.69
2000-07-01,commercial,fdr_3mo,3.2600000000000002
2000-07-01,investment,fdr_12mo,3.75
2000-07-01,investment,alr,7.23
2000-08-01,commercial,blr,6.76
2000-08-01,commercial,fdr_9mo,3.75
2000-08-01,investment,fdr_6mo,3.5
2000-08-01,commercial,alr,7.65
2000-08-01,commercial,fdr_1mo,3.43
2000-08-01,commercial,walr,7.674780231210743
2000-08-01,commercial,fdr_12mo,4.25
2000-08-01,commercial,fdr_6mo,3.55
2000-08-01,investment,fdr_3mo,3.19
2000-08-01,investment,fdr_1mo,3.12
2000-08-01,investment,fdr_9mo,0.0
2000-08-01,commercial,sr,2.81
2000-08-01,investment,fdr_12mo,4.13
2000-08-01,investment,alr,7.34
2000-08-01,commercial,fdr_3mo,3.47
2000-09-01,commercial,fdr_3mo,3.48
2000-09-01,investment,alr,7.29
2000-09-01,investment,fdr_9mo,3.4
2000-09-01,commercial,blr,6.76
2000-09-01,investment,fdr_6mo,3.2
2000-09-01,commercial,fdr_9mo,3.75
2000-09-01,commercial,alr,7.6000000000000005
2000-09-01,commercial,walr,7.611193451534641
2000-09-01,commercial,fdr_1mo,3.45
2000-09-01,commercial,fdr_12mo,4.25
2000-09-01,investment,fdr_3mo,3.22
2000-09-01,commercial,fdr_6mo,3.55
2000-09-01,investment,fdr_1mo,3.11
2000-09-01,commercial,sr,2.82
2000-09-01,investment,fdr_12mo,4.13
2000-10-01,commercial,fdr_3mo,3.48
2000-10-01,investment,fdr_12mo,4.2
2000-10-01,commercial,alr,7.6000000000000005
2000-10-01,commercial,fdr_9mo,3.74
