date,measure,value
2013-08-01,m3_total,1425783.35896223
2013-08-01,m1_currency,62479.77698223
2013-08-01,m2_total,1410527.9906762303
2013-08-01,m3_deposit_other,15255.368285999633
2013-08-01,m1_deposit_demand,237510.89481700002
2013-08-01,m1_total,299990.67179923004
2013-08-01,m2_deposit_other,207708.65642
2013-08-01,m2_deposit_saving,132702.071925
2013-08-01,m2_deposit_fixed,664177.361789
2013-08-01,m2_repo,4995.454732
2013-08-01,m2_deposit_fx,77587.08081700002
2013-09-01,m3_total,1429486.85816048
2013-09-01,m2_nid,23758.314074000005
2013-09-01,m3_deposit_other,13264.568580999969
2013-09-01,m2_deposit_saving,132929.68170400002
2013-09-01,m1_deposit_demand,247953.840473
2013-09-01,m2_deposit_other,201626.616492
2013-09-01,m1_currency,61641.545940480006
2013-09-01,m1_total,309595.38641348
2013-09-01,m2_deposit_fixed,668980.190893
2013-09-01,m2_repo,6751.225059
2013-09-01,m2_deposit_fx,72580.874944
2013-09-01,m2_total,1416222.28957948
2013-10-01,m3_deposit_other,15523.89460800006
2013-10-01,m1_deposit_demand,247857.2446
2013-10-01,m1_total,309144.19273415
2013-10-01,m2_total,1423582.63802715
2013-10-01,m3_total,1439106.53263515
2013-10-01,m1_currency,61286.94813414999
2013-10-01,m2_repo,7346.390401000001
2013-10-01,m2_deposit_saving,129852.77121899999
2013-10-01,m2_deposit_fixed,677270.2990019999
2013-10-01,m2_deposit_other,202079.744052
2013-10-01,m2_nid,23002.730499000005
2013-10-01,m2_deposit_fx,74886.51011999999
2013-11-01,m1_deposit_demand,249296.62006000004
2013-11-01,m3_deposit_other,16941.90799700003
2013-11-01,m1_total,311419.78464637004
2013-11-01,m2_deposit_saving,129892.99627899998
2013-11-01,m2_deposit_fixed,665720.6888310001
2013-11-01,m2_deposit_other,205001.91888300003
2013-11-01,m1_currency,62123.16458637001
2013-11-01,m2_repo,1922.027891
2013-11-01,m2_total,1409659.13356137
2013-11-01,m3_total,1426601.0415583698
2013-11-01,m2_nid,20621.87134
2013-11-01,m2_deposit_fx,75079.845691
2013-12-01,m2_deposit_saving,131765.24381400002
2013-12-01,m2_deposit_fx,80327.08787000002
2013-12-01,m1_total,327596.00783269
2013-12-01,m1_currency,62980.61101669
2013-12-01,m1_deposit_demand,264615.39681600005
2013-12-01,m2_deposit_other,205116.98911500003
2013-12-01,m2_repo,2089.671597
2013-12-01,m2_total,1436451.8506596903
2013-12-01,m3_deposit_other,15865.279742999934
2013-12-01,m2_deposit_fixed,671265.081507
2013-12-01,m3_total,1452317.1304026903
2013-12-01,m2_nid,18291.768924
2014-01-01,m1_total,331995.46641952003
2014-01-01,m2_nid,17958.079057000003
2014-01-01,m2_repo,420.169626
2014-01-01,m2_deposit_fx,81436.60178900002
2014-01-01,m3_deposit_other,18094.609329000115
2014-01-01,m2_total,1447905.21964452
2014-01-01,m3_total,1465999.82897352
2014-01-01,m2_deposit_saving,135785.327774
2014-01-01,m2_deposit_other,208139.380017
2014-01-01,m1_deposit_demand,260639.054643
2014-01-01,m1_currency,71356.41177652
2014-01-01,m2_deposit_fixed,672170.1949619999
2014-02-01,m2_nid,17994.940453
2014-02-01,m3_deposit_other,17589.64511599997
2014-02-01,m1_total,325880.72828299
2014-02-01,m2_deposit_fixed,673476.509599
2014-02-01,m2_deposit_fx,85099.366439
2014-02-01,m3_total,1462400.30099799
2014-02-01,m1_currency,66678.12634499001
2014-02-01,m1_deposit_demand,259202.60193799998
2014-02-01,m2_deposit_other,204327.246693
2014-02-01,m2_deposit_saving,137590.258962
2014-02-01,m2_repo,441.605453
2014-02-01,m2_total,1444810.65588199
2014-03-01,m2_deposit_fx,88880.32790599999
2014-03-01,m3_total,1475936.9967622
2014-03-01,m2_deposit_fixed,679618.5095679999
2014-03-01,m2_total,1459864.0668502
2014-03-01,m2_deposit_saving,136955.971712
2014-03-01,m1_total,327064.1755722
2014-03-01,m2_nid,18074.404619
2014-03-01,m1_deposit_demand,260736.717354
2014-03-01,m3_deposit_other,16072.929912000196
2014-03-01,m2_deposit_other,209220.96412900003
2014-03-01,m2_repo,49.713344
2014-03-01,m1_currency,66327.45821819999
2014-04-01,m2_nid,17741.081835999998
2014-04-01,m2_deposit_fixed,687109.1793670001
2014-04-01,m3_total,1486408.45282635
2014-04-01,m2_total,1469619.31941935
2014-04-01,m2_deposit_fx,89574.70231400001
2014-04-01,m2_deposit_other,212091.082849
2014-04-01,m1_total,325494.86870535003
2014-04-01,m2_deposit_saving,137092.976831
2014-04-01,m3_deposit_other,16789.133406999987
2014-04-01,m1_currency,65609.09143335001
2014-04-01,m2_repo,515.427517
2014-04-01,m1_deposit_demand,259885.777272
2014-05-01,m2_deposit_other,213104.960929
2014-05-01,m2_nid,24304.611942
2014-05-01,m1_deposit_demand,257833.17479599998
2014-05-01,m3_total,1495425.97312127
2014-05-01,m1_currency,66197.66476827001
2014-05-01,m2_total,1476642.7089382699
2014-05-01,m3_deposit_other,18783.264183000196
2014-05-01,m2_repo,2789.18536
2014-05-01,m1_total,324030.83956427
2014-05-01,m2_deposit_fx,91368.16677
2014-05-01,m2_deposit_fixed,685784.578813
2014-05-01,m2_deposit_saving,135260.36556
2014-06-01,m2_deposit_fx,93801.57363599997
2014-06-01,m2_total,1479547.4481147
2014-06-01,m2_deposit_fixed,679784.506704
2014-06-01,m3_deposit_other,16913.0770070001
2014-06-01,m1_deposit_demand,263728.683959
2014-06-01,m2_nid,18011.548081
2014-06-01,m1_currency,65531.14690669999
2014-06-01,m3_total,1496460.5251217
2014-06-01,m2_deposit_other,221415.36043899995
2014-06-01,m2_deposit_saving,136128.235899
2014-06-01,m1_total,329259.8308657
2014-06-01,m2_repo,1146.39249
2014-07-01,m2_deposit_fx,97961.61152599998
2014-07-01,m3_deposit_other,16741.900551000144
2014-07-01,m1_total,331856.75530610007
2014-07-01,m2_deposit_saving,136394.755469
2014-07-01,m1_currency,68323.84904210002
2014-07-01,m2_repo,2205.373948
2014-07-01,m2_deposit_other,221829.079691
2014-07-01,m3_total,1506044.2106601
2014-07-01,m1_deposit_demand,263532.906264
2014-07-01,m2_nid,18006.395468
2014-07-01,m2_total,1489302.3101090998
2014-07-01,m2_deposit_fixed,681048.338701
2014-08-01,m2_deposit_fixed,687515.903071
2014-08-01,m3_total,1497171.2812732602
2014-08-01,m1_total,322962.38100526
2014-08-01,m3_deposit_other,16337.040127000306
2014-08-01,m2_repo,1033.370012
2014-08-01,m2_deposit_saving,134136.58483
2014-08-01,m2_total,1480834.24114626
2014-08-01,m2_nid,20785.846823
2014-08-01,m1_currency,66890.93378025999
2014-08-01,m1_deposit_demand,256071.447225
2014-08-01,m2_deposit_other,223234.18204200006
2014-08-01,m2_deposit_fx,91165.973363
2014-09-01,m3_deposit_other,13678.116501000244
2014-09-01,m2_nid,21676.682545
2014-09-01,m2_deposit_fixed,687702.447774
2014-09-01,m1_total,330415.5280788299
2014-09-01,m2_deposit_other,226199.19712899998
2014-09-01,m2_deposit_saving,134290.67480500002
2014-09-01,m2_total,1492807.26053283
2014-09-01,m1_currency,65701.74840583
2014-09-01,m1_deposit_demand,264713.779673
2014-09-01,m2_repo,0.0
2014-09-01,m2_deposit_fx,92522.73020099998
2014-09-01,m3_total,1506485.3770338302
2014-10-01,m2_nid,23835.857914999993
2014-10-01,m3_total,1519719.9870700599
2014-10-01,m2_deposit_other,231528.628109
2014-10-01,m2_total,1504906.79754106
2014-10-01,m2_deposit_fx,90696.56818999998
2014-10-01,m2_deposit_fixed,698886.883784
2014-10-01,m1_deposit_demand,261620.47905800003
2014-10-01,m2_repo,0.0
2014-10-01,m1_total,327548.6129930601
2014-10-01,m1_currency,65928.13393505999
2014-10-01,m2_deposit_saving,132410.24654999998
2014-10-01,m3_deposit_other,14813.18952899985
2014-11-01,m2_total,1517095.9516956501
2014-11-01,m3_deposit_other,13632.057770999847
2014-11-01,m3_total,1530728.00946665
2014-11-01,m1_deposit_demand,263756.905824
2014-11-01,m2_repo,0.0
2014-11-01,m1_total,330932.83105765004
2014-11-01,m2_deposit_other,230512.60767199998
2014-11-01,m2_deposit_saving,131721.43416900001
2014-11-01,m2_deposit_fixed,707468.7383800001
2014-11-01,m2_nid,25269.589058
2014-11-01,m1_currency,67175.92523364999
2014-11-01,m2_deposit_fx,91190.751359
2014-12-01,m1_deposit_demand,278245.841085
2014-12-01,m2_deposit_saving,134931.368262
2014-12-01,m2_deposit_other,229394.94576799995
2014-12-01,m2_total,1544159.99998931
2014-12-01,m2_deposit_fixed,712239.578768
2014-12-01,m2_nid,24707.607026999995
2014-12-01,m2_deposit_fx,96274.982815
2014-12-01,m2_repo,195.6604
2014-12-01,m3_total,1557612.31459431
2014-12-01,m1_total,346415.85694931
2014-12-01,m1_currency,68170.01586430999
2014-12-01,m3_deposit_other,13452.314604999963
2015-01-01,m1_total,346300.43497325
2015-01-01,m2_deposit_saving,137074.414281
2015-01-01,m2_deposit_other,223530.295597
2015-01-01,m2_deposit_fixed,715856.8315899998
2015-01-01,m2_nid,25596.620524
2015-01-01,m2_total,1545765.70036925
2015-01-01,m2_repo,0.0
2015-01-01,m2_deposit_fx,97407.10340400001
2015-01-01,m3_total,1557187.6932472503
2015-01-01,m1_currency,71144.00664025
2015-01-01,m3_deposit_other,11421.992878000252
2015-01-01,m1_deposit_demand,275156.42833300005
2015-02-01,m3_total,1564038.1241608397
2015-02-01,m3_deposit_other,11910.920830999501
2015-02-01,m2_deposit_fx,100710.443547
2015-02-01,m1_deposit_demand,276619.7812290001
2015-02-01,m2_deposit_other,211170.77905100002
2015-02-01,m1_currency,74812.26859384
2015-02-01,m2_repo,46.134217
2015-02-01,m2_total,1552127.20332984
2015-02-01,m2_deposit_fixed,724818.7973399999
2015-02-01,m2_nid,24917.718404000003
2015-02-01,m1_total,351432.0498228401
2015-02-01,m2_deposit_saving,139031.280948
2015-03-01,m2_deposit_other,214368.20200300004
2015-03-01,m2_total,1583077.52282843
2015-03-01,m1_total,360340.52635943005
2015-03-01,m3_total,1592558.6701514302
2015-03-01,m2_deposit_saving,138643.702239
2015-03-01,m3_deposit_other,9481.147323000245
2015-03-01,m2_repo,46.134217
2015-03-01,m2_deposit_fx,111906.61738300002
2015-03-01,m1_deposit_demand,288090.19797100005
2015-03-01,m2_deposit_fixed,733497.156319
2015-03-01,m2_nid,24275.184308
2015-03-01,m1_currency,72250.32838842999
2015-04-01,m1_currency,72771.78518532001
2015-04-01,m3_total,1583131.69299332
2015-04-01,m2_deposit_fixed,738167.1880230001
2015-04-01,m3_deposit_other,10972.370368999662
2015-04-01,m1_total,351905.53964632
2015-04-01,m1_deposit_demand,279133.754461
2015-04-01,m2_nid,22210.688211000004
2015-04-01,m2_deposit_other,210961.52641800002
2015-04-01,m2_deposit_fx,109175.32375599998
2015-04-01,m2_deposit_saving,139692.922353
2015-04-01,m2_total,1572159.3226243204
2015-04-01,m2_repo,46.134217
2015-05-01,m2_deposit_saving,133983.988055
2015-05-01,m2_total,1567577.17818791
2015-05-01,m1_currency,73699.98512991
2015-05-01,m2_deposit_other,205459.164294
2015-05-01,m2_deposit_fx,113030.046835
2015-05-01,m3_deposit_other,12285.246755999979
2015-05-01,m1_deposit_demand,278621.27559100004
2015-05-01,m2_repo,145.767196
2015-05-01,m3_total,1579862.42494391
2015-05-01,m2_nid,20720.907424999998
2015-05-01,m1_total,352321.26072091004
2015-05-01,m2_deposit_fixed,741916.043662
2015-06-01,m3_deposit_other,10093.400888999924
2015-06-01,m2_repo,0.0
2015-06-01,m1_currency,72940.06450778
2015-06-01,m2_total,1574349.84007978
2015-06-01,m3_total,1584443.24096878
2015-06-01,m2_deposit_fx,112282.938063
2015-06-01,m2_nid,18918.492707999998
2015-06-01,m2_deposit_other,209567.801926
2015-06-01,m2_deposit_fixed,736057.447353
2015-06-01,m1_total,360586.34414978
2015-06-01,m2_deposit_saving,136936.81588
2015-06-01,m1_deposit_demand,287646.279642
2015-07-01,m2_repo,48.979685
2015-07-01,m3_deposit_other,9161.179994000122
2015-07-01,m1_deposit_demand,273006.627637
2015-07-01,m2_total,1560912.98047467
2015-07-01,m3_total,1570074.16046867
2015-07-01,m1_currency,74174.23778867
2015-07-01,m2_deposit_fx,120672.06576499998
2015-07-01,m2_nid,18437.336292
2015-07-01,m1_total,347180.86542567
2015-07-01,m2_deposit_other,207435.132989
2015-07-01,m2_deposit_saving,134986.290003
2015-07-01,m2_deposit_fixed,732152.310315
2015-08-01,m1_total,351492.87933129
2015-08-01,m3_total,1571522.27279629
2015-08-01,m2_deposit_other,199699.741336
2015-08-01,m2_repo,93.113107
2015-08-01,m3_deposit_other,10180.652036000043
2015-08-01,m2_deposit_fx,127818.435328
2015-08-01,m2_nid,15567.978225
2015-08-01,m2_deposit_fixed,731961.432443
2015-08-01,m2_deposit_saving,134708.04099
2015-08-01,m2_total,1561341.62076029
2015-08-01,m1_deposit_demand,276088.939445
2015-08-01,m1_currency,75403.93988629
2015-09-01,m2_total,1581305.81731726
2015-09-01,m2_deposit_other,202557.582255
2015-09-01,m2_repo,46.541609
2015-09-01,m3_total,1593104.17218926
2015-09-01,m3_deposit_other,11798.35487199994
2015-09-01,m2_deposit_fx,136562.152333
2015-09-01,m2_nid,13529.444723
2015-09-01,m1_total,357983.88368626003
2015-09-01,m1_currency,75062.00373626
2015-09-01,m1_deposit_demand,282921.8799500001
2015-09-01,m2_deposit_fixed,734050.658765
2015-09-01,m2_deposit_saving,136575.553946
2015-10-01,m1_total,351276.1414597
2015-10-01,m2_deposit_other,199157.71574500002
2015-10-01,m2_repo,0.0
2015-10-01,m2_total,1575491.5711207
2015-10-01,m3_total,1585169.9641837003
2015-10-01,m3_deposit_other,9678.39306300017
2015-10-01,m2_deposit_fx,139236.603555
2015-10-01,m2_nid,12987.151740000001
2015-10-01,m1_currency,75818.09391669999
2015-10-01,m1_deposit_demand,275458.047543
2015-10-01,m2_deposit_saving,135331.498382
2015-10-01,m2_deposit_fixed,737502.460239
2015-11-01,m2_total,1583959.7534515199
2015-11-01,m2_deposit_fixed,733858.5457279999
2015-11-01,m2_deposit_other,203403.10715599998
2015-11-01,m2_repo,0.0
2015-11-01,m3_total,1592321.53120152
2015-11-01,m1_total,352369.04980552004
2015-11-01,m3_deposit_other,8361.777750000125
2015-11-01,m1_deposit_demand,276625.79253000004
2015-11-01,m1_currency,75743.25727552001
2015-11-01,m2_deposit_fx,147502.71727999998
2015-11-01,m2_nid,12341.928832000001
2015-11-01,m2_deposit_saving,134484.40464999998
2015-12-01,m2_deposit_fx,145790.022104
2015-12-01,m1_total,360502.94251989
2015-12-01,m2_total,1595853.7572998903
2015-12-01,m1_currency,76913.66633389
2015-12-01,m2_deposit_other,198579.35686700002
2015-12-01,m2_deposit_saving,135590.665853
2015-12-01,m2_repo,0.0
2015-12-01,m3_deposit_other,8084.277888999786
2015-12-01,m1_deposit_demand,283589.2761860001
2015-12-01,m3_total,1603938.03518889
2015-12-01,m2_nid,12596.701023
2015-12-01,m2_deposit_fixed,742794.0689330001
2016-01-01,m3_deposit_other,9496.312397999922
2016-01-01,m2_total,1587778.9943163
2016-01-01,m2_nid,10760.636057
2016-01-01,m2_deposit_saving,136539.890149
2016-01-01,m1_total,363454.2701183
2016-01-01,m2_repo,0.0
2016-01-01,m1_currency,81816.4368733
2016-01-01,m1_deposit_demand,281637.833245
2016-01-01,m2_deposit_fx,137183.29384000003
2016-01-01,m2_deposit_other,204170.216263
2016-01-01,m3_total,1597275.3067142998
2016-01-01,m2_deposit_fixed,735670.6878889999
2016-02-01,m1_deposit_demand,286449.82813
2016-02-01,m1_total,366985.32896221
2016-02-01,m2_repo,0.0
2016-02-01,m2_nid,9501.434236
2016-02-01,m2_total,1603038.2058602101
2016-02-01,m3_total,1612464.26174521
2016-02-01,m2_deposit_fx,139427.678311
2016-02-01,m2_deposit_other,203154.17580700002
2016-02-01,m2_deposit_saving,139022.148403
2016-02-01,m1_currency,80535.50083221002
2016-02-01,m2_deposit_fixed,744947.4401410001
2016-02-01,m3_deposit_other,9426.055884999922
2016-03-01,m3_deposit_other,8935.740272999974
2016-03-01,m2_repo,0.006822
2016-03-01,m2_deposit_saving,138981.586273
2016-03-01,m1_currency,78915.76171439
2016-03-01,m2_deposit_fx,136454.915225
2016-03-01,m2_deposit_other,213727.53619800002
2016-03-01,m2_deposit_fixed,751548.470057
2016-03-01,m3_total,1613189.9577113898
2016-03-01,m2_total,1604254.2174383898
2016-03-01,m2_nid,9354.656859
2016-03-01,m1_deposit_demand,275271.2842899999
2016-03-01,m1_total,354187.04600438994
2016-04-01,m3_deposit_other,9476.223887999775
2016-04-01,m1_currency,80001.67628975
2016-04-01,m2_total,1601667.16179175
2016-04-01,m2_deposit_saving,139180.576636
2016-04-01,m1_deposit_demand,268626.14405
2016-04-01,m2_deposit_fx,135169.94530300001
2016-04-01,m2_deposit_other,208747.22677699997
2016-04-01,m2_deposit_fixed,760760.170369
2016-04-01,m2_repo,0.0
2016-04-01,m2_nid,9181.422367000001
2016-04-01,m1_total,348627.82033975003
2016-04-01,m3_total,1611143.3856797498
2016-05-01,m1_total,356464.27645778004
2016-05-01,m3_total,1620291.89768178
2016-05-01,m2_repo,0.0
2016-05-01,m2_deposit_fixed,761597.4608779999
2016-05-01,m2_deposit_other,204356.350581
2016-05-01,m1_deposit_demand,276604.526996
2016-05-01,m3_deposit_other,11533.601419999963
2016-05-01,m2_deposit_fx,138861.226029
2016-05-01,m2_total,1608758.29626178
2016-05-01,m2_nid,8957.568981000002
2016-05-01,m2_deposit_saving,138521.413335
2016-05-01,m1_currency,79859.74946178001
2016-06-01,m1_total,363910.68328049005
2016-06-01,m3_deposit_other,10119.083103000186
2016-06-01,m2_deposit_fx,136067.51526
2016-06-01,m2_deposit_fixed,755876.223949
2016-06-01,m2_nid,7533.630254999998
2016-06-01,m3_total,1621162.4790724902
2016-06-01,m2_total,1611043.39596949
2016-06-01,m2_deposit_other,205488.37184499996
2016-06-01,m1_deposit_demand,280792.02068400005
2016-06-01,m1_currency,83118.66259649
2016-06-01,m2_deposit_saving,142166.97137999997
2016-06-01,m2_repo,0.0
2016-07-01,m1_deposit_demand,272707.21916800004
2016-07-01,m2_deposit_other,201445.212239
2016-07-01,m2_repo,0.0
2016-07-01,m1_currency,81543.70651863
2016-07-01,m3_deposit_other,9445.399376000278
2016-07-01,m2_deposit_fx,132361.53705900002
2016-07-01,m1_total,354250.9256866301
2016-07-01,m2_deposit_fixed,762432.8148459999
2016-07-01,m2_nid,7876.8313370000005
2016-07-01,m2_total,1598473.0772146299
2016-07-01,m2_deposit_saving,140105.75604700003
2016-07-01,m3_total,1607918.4765906301
2016-08-01,m2_repo,0.0
2016-08-01,m2_deposit_saving,140991.108456
2016-08-01,m2_deposit_other,203218.45202499998
2016-08-01,m3_total,1609689.42505733
2016-08-01,m2_nid,6703.478520999999
2016-08-01,m2_total,1600710.6652563298
2016-08-01,m1_total,354935.38282033
2016-08-01,m2_deposit_fx,128732.76544100003
2016-08-01,m1_deposit_demand,273745.86496399995
2016-08-01,m2_deposit_fixed,766129.4779930001
2016-08-01,m1_currency,81189.51785633
2016-08-01,m3_deposit_other,8978.759801000124
2016-09-01,m2_repo,0.0
2016-09-01,m3_total,1629047.9033549302
2016-09-01,m1_currency,82508.03517593
2016-09-01,m2_nid,7549.166483999999
2016-09-01,m1_total,358242.86637193
2016-09-01,m2_deposit_other,209520.643278
2016-09-01,m2_deposit_fixed,773441.4736930002
2016-09-01,m1_deposit_demand,275734.831196
2016-09-01,m2_deposit_fx,127750.643702
2016-09-01,m2_total,1620227.39195293
2016-09-01,m3_deposit_other,8820.511402000207
2016-09-01,m2_deposit_saving,143722.598424
2016-10-01,m2_deposit_fixed,765195.438364
2016-10-01,m3_deposit_other,9628.865445000352
2016-10-01,m2_total,1629123.2065428798
2016-10-01,m2_repo,0.0
2016-10-01,m1_total,360901.06870788
2016-10-01,m3_total,1638752.0719878802
2016-10-01,m2_deposit_other,216712.372785
2016-10-01,m1_currency,82605.35610088
2016-10-01,m2_deposit_fx,136027.640336
2016-10-01,m1_deposit_demand,278295.71260699996
2016-10-01,m2_deposit_saving,142724.75641799998
2016-10-01,m2_nid,7561.929932
2016-11-01,m2_nid,9269.999645000002
2016-11-01,m2_deposit_fixed,761072.0322430001
2016-11-01,m2_repo,0.0
2016-11-01,m2_deposit_saving,144270.73979199998
2016-11-01,m1_currency,82975.69337288999
2016-11-01,m1_deposit_demand,285338.076657
2016-11-01,m3_total,1643004.4181548902
2016-11-01,m2_total,1634216.72678089
2016-11-01,m2_deposit_other,213626.898059
2016-11-01,m1_total,368313.77002989
2016-11-01,m3_deposit_other,8787.691374000162
2016-11-01,m2_deposit_fx,137663.287012
2016-12-01,m2_nid,10515.366352
2016-12-01,m2_deposit_fixed,766319.2614
2016-12-01,m2_repo,0.0
2016-12-01,m3_deposit_other,7955.513171999948
2016-12-01,m1_total,380860.63263999997
2016-12-01,m2_deposit_saving,145128.765913
2016-12-01,m1_deposit_demand,295178.241451
2016-12-01,m1_currency,85682.391189
2016-12-01,m3_total,1655224.991408
2016-12-01,m2_deposit_other,205345.42279100002
2016-12-01,m2_deposit_fx,139100.02914
2016-12-01,m2_total,1647269.478236
2017-01-01,m1_total,387127.66383307
2017-01-01,m3_total,1670516.2235230699
2017-01-01,m2_deposit_other,211232.206261
2017-01-01,m2_repo,0.0
2017-01-01,m2_deposit_fixed,756206.313041
2017-01-01,m1_deposit_demand,294569.987336
2017-01-01,m3_deposit_other,8579.540938999737
2017-01-01,m2_deposit_fx,147776.860071
2017-01-01,m2_total,1661936.6825840701
2017-01-01,m2_nid,10380.956129
2017-01-01,m2_deposit_saving,149212.68324900002
2017-01-01,m1_currency,92557.67649707
2017-02-01,m1_total,387020.2214671
2017-02-01,m3_deposit_other,7189.988914999878
2017-02-01,m2_nid,9529.23373
2017-02-01,m2_deposit_other,219569.92648699996
2017-02-01,m2_total,1668004.6820091
2017-02-01,m3_total,1675194.6709240999
2017-02-01,m2_deposit_fixed,755486.5783170001
2017-02-01,m2_deposit_saving,150940.59949999998
2017-02-01,m2_deposit_fx,145458.12250799997
2017-02-01,m2_repo,0.0
2017-02-01,m1_deposit_demand,298504.02883100003
2017-02-01,m1_currency,88516.19263610001
2017-03-01,m2_deposit_fx,144472.75041900002
2017-03-01,m1_currency,88809.21889101
2017-03-01,m2_repo,0.0
2017-03-01,m2_deposit_other,221809.15972000003
2017-03-01,m1_deposit_demand,297997.232
2017-03-01,m2_total,1680740.38714001
2017-03-01,m2_deposit_saving,151903.484781
2017-03-01,m2_deposit_fixed,765676.810675
2017-03-01,m3_deposit_other,7560.718975999858
2017-03-01,m3_total,1688301.1061160099
2017-03-01,m2_nid,10071.730654
2017-03-01,m1_total,386806.45089101
2017-04-01,m2_repo,0.0
2017-04-01,m1_currency,89903.10342597999
2017-04-01,m2_deposit_fixed,774208.5135519999
2017-04-01,m1_deposit_demand,297128.42010900006
2017-04-01,m2_deposit_saving,150238.11863
2017-04-01,m3_total,1685054.63737598
2017-04-01,m3_deposit_other,7539.151854000287
2017-04-01,m2_total,1677515.4855219796
2017-04-01,m2_nid,9400.009268000002
2017-04-01,m2_deposit_other,210204.95644099996
2017-04-01,m2_deposit_fx,146432.36409599998
2017-04-01,m1_total,387031.52353498
2017-05-01,m2_total,1689273.6325305495
2017-05-01,m3_deposit_other,9582.592315000482
2017-05-01,m2_deposit_fi

... [Content truncated, total 75,535 chars] ...
