notif_no,product,company,date_notif
NOT240606028K,M.A.C DAZZLESHADOW EXTREME - ROYAL RUBY (SX5J43),ESTEE LAUDER MALAYSIA SDN. BHD.,2024-06-26
NOT240606044K,ESTEE LAUDER LIMITED EDITION LIP GLOSS - BENEATH THE SHEEN (PFN701),ESTEE LAUDER MALAYSIA SDN. BHD.,2024-06-26
NOT240606098K,ADOLPH Silicone-Free Shampoo (Four-In-One),FH2W SOLUTIONS SDN. BHD.,2024-06-26
NOT240606369K,THE BODY SHOP FRAGRANCED BODY BUTTER SHEA & SAFFRON,THE BODY SHOP (MALAYSIA) SDN. BHD.,2024-06-26
NOT240606233K,NUMBER THREE HUE 8/0N,PASSION TRADING SDN. BHD.,2024-06-26
NOT240606162K,captueaty Water-based Nail Polish - Grass Green,BLUE ORIGIN SUPPLY CHAIN SDN. BHD.,2024-06-26
NOT240606246K,APRIL 22 ROSE SHOWER GEL,APRIL TWENTY TWO SDN. BHD,2024-06-26
NOT240606198K,ALFAPARF MILANO COLORWEAR THE NATURAL EVOLUTION OF TONE ON TONE 10UV,PASSION TRADING SDN.

... [Content truncated, total 23,526,824 chars] ...
