company,state,postcode,address,poison,non_poison,traditional,health_supplement,poison_vet,non_poison_vet
CNI ENTERPRISE (M) SDN. BHD.,Sabah,88450,"LOT 121, BLOK N-5, GROUND & FIRST FLOOR LORONG PLAZA PERMAI 3 JALAN SULAMAN HIGHWAY",0,1,1,1,0,0
COLUMBIA ASIA SDN BHD,Selangor,43200,"COLUMBIA ASIA HOSPITAL-CHERAS LOT 33107, JALAN SUAKASIH",1,0,0,0,0,0
CONFORER GLOBAL SDN BHD,W.P. Kuala Lumpur,55100,"NO. 9-9C & 11-11C JALAN PANDAN 3/5, PANDAN JAYA",0,0,1,1,0,0
Costmed Pharmacy Sdn. Bhd.,Sarawak,96000,NO. 70A JALAN MARKET,1,1,1,1,0,0
COSWAY (M) SDN. BHD.,W.P. Kuala Lumpur,55100,"LG14 & LG15 Lower Ground Floor, Berjaya Times Square Jalan Imbi",0,0,1,1,0,0
COZY PHARMACY,Negeri Sembilan,70450,"335, JALAN BERLIAN, TAMAN SENAWANG JAYA",1,1,1,1,0,0
Cp Centrecare Pharmacy Sdn. Bhd.,Melaka,75100,"53, Jalan Bendahara",1,1,1,1,0,0
Daiwa Enterprise Co,Sabah,88450,"No. 1, Lorong Buah Sukun Selundang Industrial Estate Jalan Kilang, Kolombong",0,0,1,0,0,0
DAMAI RX SDN BHD,Kedah,08800,"FARMASI DAMAI, NO. 100-A, JALAN ALOR SETAR, GUAR CHEMPEDAK",1,1,1,1,0,0
Danberg (m) Sdn Bhd,Selangor,40300,"Lot 1, Jalan Bursa 23/4 Seksyen 23",1,0,0,0,1,0
DAVOS LIFE SCIENCE SDN BHD,Selangor,42920,"NO. 25, JALAN SUNGAI PINANG 5/18 FASA 2D, TAMAN PERINDUSTRIAN PULAU INDAH",0,0,0,1,0,0
DCH AURIGA (MALAYSIA) SDN. BHD.,Selangor,40300,"Lot 6, Persiaran Perusahaan Seksyen 23",1,1,1,1,0,0
DE NEW PHARMACY SDN. BHD.,Sabah,90000,"LOT 7, BLOK F, TINGKAT BAWAH, SIBUGA JAYA COMMERCIAL CENTRE BATU 8, JALAN LABUK",1,1,1,1,0,0
DELFI MARKETING SDN. BHD.,Selangor,47650,"Level 6, Block A, Sky Park One City, Jalan USJ 25/1",1,1,1,1,1,1
DESA SOUTHERN AGENCY SDN. BHD.,Johor,83300,"NO. 1, LOT 2907, JALAN SRI BENGKAL PARIT SENGKUANG, SRI GADING",0,0,1,0,0,0
DESMAJU SDN BHD,Pulau Pinang,14000,"74, Jalan Perniagaan Pusat Perniagaan Alma",1,1,1,1,0,0
Dexchem Industries Sdn Bhd,Pulau Pinang,14000,"NO. 6 & 8, JALAN INDUSTRI CHEROK TOKUN 2 TAMAN INDUSTRI CHEROK TOKUN",1,0,0,0,1,0
DHL SUPPLY CHAIN (MALAYSIA) SDN. BHD.,Selangor,40300,"Lot 4, Persiaran Perusahaan Seksyen 23",0,1,0,1,0,0
DHPL MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,60000,"B-02-05, PLAZA TTDI JALAN WAN KADIR 3 TAMAN TUN DR ISMAIL",1,1,1,1,0,0
DIAGNOSTIC SYSTEMS (M) SDN. BHD.,Selangor,47301,"1002, LEVEL 10, BLOCK A (LOBBY A) KELANA CENTRE POINT NO. 3, JALAN SS7/19, KELANA JAYA",1,0,0,0,0,0
DIMENSISS HEALTHCARE SDN. BHD.,Selangor,41050,"No. 28, Jalan Astana 1D/KU2 Bandar Bukit Raja",1,1,1,1,0,0
DKSH MALAYSIA SDN. BHD.,Sarawak,93050,"Lot 1200, Block 8, Muara Tebas Land District Demak Laut Industrial Park, Phase 4 Sejingkat, Jalan Bako",1,1,1,1,0,1
DLYND ENTERPRISE,Pahang,25000,"B-120, 2ND FLOOR JALAN WONG AH JANG",0,0,0,1,0,0
Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,59200,"Unit No. SO-29-07 & SO-29-08 Menara 1, Strata Office No. 3, Jalan Bangsar, KL Eco City",1,0,0,0,0,0
Dragon Ginseng Bio-Tech Sdn Bhd,Selangor,42200,"NO. 11, JALAN WAWASAN 4A/KU7 KAWASAN PERINDUSTRIAN SUNGAI KAPAR INDAH BATU 6, JALAN KAPAR",0,0,1,0,0,0
DS Pharma Herbs Sdn. Bhd.,Kedah,06000,Lot 54 IKS Keda Napoh,0,0,1,0,0,0
DSAB Holdings Sdn Bhd,W.P. Kuala Lumpur,59100,"Suite 8-8-10, 8th Floor Menara Mutiara Bangsar Jalan Liku Bangsar",0,0,1,1,0,0
DSB PHARMA SDN. BHD.,Johor,84000,"Salcare Pharmacy No. 4, Taman Pertama Indah Jalan Sungai Abong",1,1,1,1,0,0
DSN PHARMA SDN. BHD.,Selangor,47180,"13-1, JALAN DU 2/1 TAMAN DAMAI UTAMA",1,1,1,1,1,1
DUOLEAF HEALTHCARE SDN. BHD.,Selangor,46100,"NO. 20, GROUND FLOOR, FIRST FLOOR & SECOND FLOOR, JALAN 51A/225A ZON PERINDUSTRIAN PJCT SEKSYEN 51A",0,0,1,1,0,0
DUOPHARMA (M) SENDIRIAN BERHAD,Selangor,41200,"Lot 2599, Jalan Seruling 59,  Kawasan 3, Taman Klang Jaya,",1,0,0,0,0,0
DUOPHARMA DISTRIBUTION SDN. BHD.,Pulau Pinang,14000,"NO. 7, LORONG PERDA TIMUR 7 BANDAR PERDA",1,1,1,1,0,0
DUOPHARMA HAPI SDN. BHD.,Selangor,40150,"NO. 2, JALAN SAUDAGAR U1/16 ZON PERINDUSTRIAN HICOM GLENMARIE SEKSYEN U1",1,0,0,0,0,0
Duopharma Marketing Sdn. Bhd.,Selangor,43650,"LOT NO. 2, 4, 6, 8 & 10 JALAN P/7, SECTION 13 BANGI INDUSTRIAL ESTATE",1,1,1,1,1,0
DXN MARKETING SDN BHD,Selangor,47301,"NO. 8, BLOK C, SURIA BUTIK OFFICE JALAN PJU 1/42, DATARAN PRIMA",0,0,1,0,0,0
DY HEALTHCARE SDN BHD,Pulau Pinang,11600,596G JALAN JELUTONG,1,0,0,0,0,0
DYNAPHARM MARKETING (M) SDN BHD,Selangor,40150,"No. 6, Jelutong Prime, Jalan Ruang U8/103 Bukit Jelutong, Seksyen U8",1,1,1,1,0,0
E HEALTH SDN. BHD.,Selangor,42200,"No. 2, Jalan Meru Indah 22/KU8 Kawasan Perindustrian Meru Barat Klang Utara (KU8)",0,0,1,1,0,0
e-GIRIN INTERNATIONAL SDN. BHD,Melaka,75000,"NO. 26, 26A & 26B, JALAN MELAKA RAYA 20, TAMAN MELAKA RAYA",0,0,1,0,0,0
E.V Care Pharmacy,Perak,36000,"11, JALAN PASAR",1,1,1,1,0,0
EAGLE CLIFFE (M) SDN BHD,Selangor,46000,"BLOK NO. A-9-1, 10-1 & 11-1, JALAN PJS 2/16A TAMAN MAJU JAYA",1,1,1,1,0,0
EARTH GREEN PHARMACY SDN BHD,Pahang,25200,"No. 52, 54 & 56 Ground Floor (Malay Town), Jalan Putra Square 1",1,1,1,1,0,0
EDARAN SNW SDN BHD,Kelantan,15100,"LOT 505, LORONG HAJI KADIR, BATU 2 JALAN KUALA KRAI",0,1,0,1,0,0
EDEN PHARMACY SDN. BHD.,Selangor,40170,"7-1-2, Jalan Setia Prima A, U13/A Setia Alam, Seksyen U13",1,1,0,1,0,0
EE KOH ENTERPRISE SDN BHD,Pulau Pinang,14100,"46, LORONG IKS JURU 7 TAMAN PERINDUSTRIAN RINGAN JURU",0,1,1,1,0,0
EE PHARMACY (M) SDN. BHD.,Selangor,40200,"NO. 8-G, TINGKAT BAWAH JALAN PAHAT G 15/G KOMPLEKS OTOMOBIL, SEKSYEN 15",1,1,1,1,0,0
EHSAN MARKETING  SDN BHD,Kelantan,15200,"NO. 1624, JALAN GUCHIL BAYAM",0,1,0,1,0,0
ELDON HEALTHCARE SDN. BHD.,Johor,81000,"NO. 84, JALAN I-PARK 1/9 KAWASAN PERINDUSTRIAN I-PARK BANDAR INDAHPURA",0,1,1,1,0,0
ELEGANT WORLD (M) SDN. BHD.,Selangor,47620,"NO. 11, JALAN TP5 TAMAN PERINDUSTRIAN UEP",0,0,1,1,0,0
ELITE BOND SDN. BHD.,Sabah,88300,"LOT 2, POLY INDUSTRIAL CENTRE (HSK) PENAMPANG",0,0,1,0,0,0
ELKEN SDN. BHD.,Johor,81100,"11-G, 11-01, 11-02- 15-01 & 15-02 Jalan Ponderosa 2/2, Taman Ponderosa",0,0,1,1,0,0
Emax Distribution Sdn. Bhd.,W.P. Kuala Lumpur,50450,"T1-19, 3 Tower Jalan Ampang",1,1,0,1,0,0
EMBUN ELIT SDN.BHD.,Selangor,46200,"NO. 15-3A, BLOCK A, JAYA ONE NO. 72A, JALAN UNIVERSITI",0,1,1,1,0,1
ENG KONG PHARMACY SDN. BHD.,Sarawak,97000,SHOPLOT 13 OF PARENT LOT 2646 BINTULU TOWN DISTRICT JALAN TUN AHMAD ZAIDI,1,1,1,1,1,1
ENINC JAYA SDN. BHD.,W.P. Kuala Lumpur,58000,"17-01, LEVEL 17, MENARA MBMR 1, JALAN SYED PUTRA",0,1,1,1,0,0
EP PLUS GROUP SDN. BHD.,W.P. Kuala Lumpur,50480,"BLOCK C-3-1, PLAZA MONT KIARA NO. 2, JALAN KIARA MONT KIARA",1,1,1,1,0,0
EPSILON HEA

... [Content truncated, total 106,627 chars] ...
